telephone;code client;Nom;Prenom;Durée relation (années);Région
618368319;ALFKI;MARTIN;Jean;10 ans;Centre-Val de Loire
618368319;ALFKI;MARTIN;Jean;10 ans;Centre-Val de Loire
647834860;ANATR;BERNARD;Pierre;4 ans;Corse
605125419;ANTON;THOMAS;Michel;5 ans;Grand Est
658778486;AROUT;PETIT;André;7 ans;Centre-Val de Loire
658778486;AROUT;PETIT;André;7 ans;Centre-Val de Loire
686791640;BERGS;ROBERT;Philippe;4 ans;Normandie
693048448;BLAUS;RICHARD;René;10 ans;Bretagne
636754055;BLONP;DURAND;Louis;0 ans;Centre-Val de Loire
655884866;BOLID;DUBOIS;Alain;4 ans;Auvergne-Rhône-Alpes
620687787;BONAP;MOREAU;Jacques;5 ans;Centre-Val de Loire
625480492;BOTTM;LAURENT;Bernard;12 ans;Pays de la Loire
675445079;BSBEV;SIMON;Marcel;7 ans;Hauts-de-France
629077052;CACTU;MICHEL;Daniel;14 ans;Auvergne-Rhône-Alpes
689684644;CHOPS;LEFEBVRE;Roger;9 ans;Île-de-France
679975864;CONSH;LEROY;Robert;3 ans;Nouvelle-Aquitaine
615598004;DAVID;ROUX;Paul;14 ans;Pays de la Loire
601891882;DUMON;DAVID;Claude;6 ans;Corse
672623474;EASTC;BERTRAND;Christian;13 ans;Nouvelle-Aquitaine
